score,SMILES,Name,idx,cycle
0.892,NC(=O)Cc1nc2c(nnn2C2COC2)c(=O)n1CCOCCO,256054523_1760798_901948,24,0
0.889,O=CNCc1nc2c(nnn2C2COC2)c(=O)n1C1CN(CCO)C1,256054523_82601602_1733657,24,0
0.888,O=CNCc1nc2c(nnn2C2COC2)c(=O)n1CC[C@@H](O)CO,256054523_34273814_1733657,24,0
0.886,O=CNCc1nc2c(nnn2C2COC2)c(=O)n1CCOCCO,256054523_1760798_1733657,24,0
0.877,CC(=O)Nc1ccc2nc(C(O)O)n(C[C@@H](O)c3nnn(C)n3)c(=O)c2c1,4640612_1225225_6660936,24,0
0.876,O=CNCc1nc2c(nnn2CC2CC2)c(=O)n1C1CN(CCO)C1,256050123_82601602_1733657,24,0
0.875,O=CNCc1nc2c(nnn2C2COC2)c(=O)n1CCN1CCNC1=O,256054523_164791_1733657,24,0
0.874,CNC(=O)c1n[nH]c(-n2c([C@H](N)CO)nc3cc(O)ccc3c2=O)n1,13352602_19844301_895342,24,0
0.873,CC(=O)Nc1ccc2nc(C(O)O)n(CC(=O)NCCC(=O)O)c(=O)c2c1,4640612_1637970_6660936,24,0
0.872,O=CNCc1nc2c(nnn2CC2CC2)c(=O)n1CC[C@H](O)CO,256050123_34273813_1733657,24,0
0.872,O=c1c2nnn(CC3CC3)c2nc(C(O)O)n1C1CN(CCO)C1,256050123_82601602_6660936,24,0
0.872,NC(=O)Cc1nc2c(nnn2C2COC2)c(=O)n1C1CN(CCO)C1,256054523_82601602_901948,24,0
0.871,Cc1n[nH]c2c(=O)n(-c3ncn(CCO)n3)c([C@@H](N)CO)nc12,5544115_19088805_895034,24,0
0.871,CC(=O)Nc1ccc2nc(C(O)O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_6660936,24,0
0.87,O=CNCc1nc2c(nnn2CC2CC2)c(=O)n1CC[C@@H](O)CO,256050123_34273814_1733657,24,0
0.87,NCC[C@H](O)c1nc2c(nnn2C2COC2)c(=O)n1CCOCCO,256054523_1760798_2019611,24,0
0.869,NC(=O)Cc1nc2c(nnn2CC2CC2)c(=O)n1CC[C@@H](O)CO,256050123_34273814_901948,24,0
0.869,CC(=O)Nc1ccc2nc(C(O)O)n(CCNC3COC3)c(=O)c2c1,4640612_82488584_6660936,24,0
0.868,NC(=O)Cc1nc2c(nnn2CC2CC2)c(=O)n1C1CN(CCO)C1,256050123_82601602_901948,24,0
0.867,CC(=O)Nc1ccc2nc(CNC=O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_1733657,24,0
0.867,N=C(NCCO)n1c(CNC=O)nc2c(nnn2C2COC2)c1=O,256054523_1652056_1733657,24,0
0.866,COC(=O)[C@@H](O)Cc1nc2c(nnn2C2COC2)c(=O)n1CC[C@H](O)CO,256054523_34273813_14585673,24,0
0.865,NC(=O)NCc1nc2c(nnn2C2COC2)c(=O)n1CC[C@H](O)CO,256054523_34273813_1464311,24,0
0.865,CNC(=O)c1n[nH]c(-n2c(CNC=O)nc3cc(O)ccc3c2=O)n1,13352602_19844301_1733657,24,0
0.862,N=C(NCCO)n1c(CNC=O)nc2c(nnn2CC2CC2)c1=O,256050123_1652056_1733657,24,0
0.862,N[C@@H](CCO)c1nc2c(nnn2C2COC2)c(=O)n1C(=O)[C@@H]1CNC(=O)C1,256054523_4301264_895146,24,0
0.862,CC(=O)Nc1ccc2nc(CNC=O)n(C[C@@H](O)c3nnn(C)n3)c(=O)c2c1,4640612_1225225_1733657,24,0
0.862,CC(=O)Nc1ccc2nc(CNC=O)n(C(=O)CN3CCOCC3)c(=O)c2c1,4640612_20436848_1733657,24,0
0.862,O=C(O)Cn1nnc(-n2c(C(O)O)nc3c(sc4ncncc43)c2=O)n1,35269739_4294607_6660936,24,0
0.862,NCC[C@H](N)c1nc2c(nnn2C2COC2)c(=O)n1C(=O)[C@@H]1CNC(=O)C1,256054523_4301264_52986906,24,0
0.861,CNC(=O)c1n[nH]c(-n2c([C@H](N)CCN)nc3cc(O)ccc3c2=O)n1,13352602_19844301_53122793,24,0
0.86,O=CNCc1nc2c(nnn2C2COC2)c(=O)n1C1[C@H]2CS(=O)(=O)C[C@H]12,256054523_211858069_1733657,24,0
0.859,CC(=O)Nc1ccc2nc([C@@H](O)CN)n(CC(=O)NCCC(=O)O)c(=O)c2c1,4640612_1637970_2034711,24,0
0.859,COC(=O)[C@H](N)Cc1nc2c(nnn2C2COC2)c(=O)n1CC[C@@H](O)CO,256054523_34273814_2560988,24,0
0.859,CNC(=O)c1n[nH]c(-n2c(C(O)O)nc3ccc(NC(C)=O)cc3c2=O)n1,4640612_19844301_6660936,24,0
0.859,O=C(O)Cn1nnc(-n2c(C(O)O)nc3c(sc4nccnc43)c2=O)n1,12367501_4294607_6660936,24,0
