score,SMILES,Name,idx,cycle
0.935,CN1C[C@@H](CNC(=O)CCc2c[nH]nn2)OCC1=O,11884221_9471403,9,0
0.923,CN1C[C@@H](CNC(=O)CCn2ccnn2)OCC1=O,11884221_12505846,9,0
0.921,O=C1CCN(CC(=O)N[C@H]2C[C@H](n3ccnn3)C2)C1,1857779624_22015613,9,0
0.916,C[C@@H]1C[C@H](CNC(=O)CCc2c[nH]nn2)CC(=O)N1,258570134_9471403,9,0
0.91,Cc1cc(=O)[nH]c(CNC(=O)CCn2ccnn2)n1,19089801_12505846,9,0
0.907,CN1C[C@@H](CNC(=O)CCn2cnnn2)OCC1=O,11884221_1088365,9,0
0.903,O=C(N[C@H]1C[C@H](n2ccnn2)C1)c1cn[nH]c(=O)c1,1857779624_20357820,9,0
0.902,C[C@@H]1C[C@H](CNC(=O)CCn2ccnn2)CC(=O)N1,258570134_12505846,9,0
0.898,O=C(CCc1c[nH]nn1)NCc1cn2cnnc2cn1,575483426_9471403,9,0
0.897,COCC(=O)NCC(=O)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_20205651,9,0
0.896,Cc1cc(=O)[nH]c(CNC(=O)CCc2c[nH]nn2)n1,19089801_9471403,9,0
0.895,O=C(CCc1c[nH]nn1)NC[C@@H]1CNC(=O)CO1,88189565_9471403,9,0
0.895,Cc1cc(=O)[nH]c(CNC(=O)CCn2cnnn2)n1,19089801_1088365,9,0
0.886,C[C@@H]1C[C@H](CNC(=O)CCn2cnnn2)CC(=O)N1,258570134_1088365,9,0
0.884,O=C1CC[C@@H](C(=O)N[C@H]2C[C@H](n3ccnn3)C2)CN1,1857779624_12343437,9,0
0.883,O=C1CC[C@H](C(=O)N[C@H]2C[C@H](n3ccnn3)C2)CN1,1857779624_12343438,9,0
0.882,O=C(CCn1ccnn1)NC[C@@H]1CNC(=O)CO1,88189565_12505846,9,0
0.882,O=C(CCc1c[nH]nn1)NCCN1CCCCO1,20441340_9471403,9,0
0.881,O=C(CCn1ccnn1)NCc1cn2cnnc2cn1,575483426_12505846,9,0
0.881,Cn1ncc(CNC(=O)CCn2cnnc2)cc1=O,211705296_2573102,9,0
0.879,COC[C@@H](O)CNCCNC(=O)Cn1cc(N)nn1,19365100_82409812,9,0
0.878,O=C(N[C@H]1C[C@H](n2ccnn2)C1)c1cc[nH]c(=O)n1,1857779624_1690468,9,0
0.877,CN1C[C@H](C(=O)N[C@H]2C[C@H](n3ccnn3)C2)CC1=O,1857779624_3643331,9,0
0.877,O=C1CC[C@@H](CC(=O)N[C@H]2C[C@H](n3ccnn3)C2)N1,1857779624_5188208,9,0
0.875,O=C(CCn1cnnn1)NCc1cn2cnnc2cn1,575483426_1088365,9,0
0.875,O=C(C[C@@H]1C[C@H](O)CN1)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_6613633,9,0
0.874,C[C@H](NC(=O)Cn1cc(N)nn1)C(=O)N1CCCC1,11957328_82409812,9,0
0.872,COCc1nc(CNC(=O)CCn2ccnn2)no1,16944101_12505846,9,0
0.871,Cn1c(CCNC(=O)CCc2c[nH]nn2)n[nH]c1=O,20418103_9471403,9,0
0.871,Nc1nnn(CC(=O)NCCC(=O)N2CC(O)C2)n1,42784323_4294607,9,0
0.87,O=C(CCn1ccnn1)NCc1c[nH]c(=O)[nH]c1=O,20417224_12505846,9,0
0.87,O=C(C[C@H]1COCCO1)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_28714545,9,0
0.87,O=C1C[C@H](CC(=O)N[C@H]2C[C@H](n3ccnn3)C2)CN1,1857779624_82409537,9,0
0.868,CN1C[C@H](CNC(=O)CCn2ccnn2)OCC1=O,11884224_12505846,9,0
0.868,CN1C[C@@H](C(=O)N[C@H]2C[C@H](n3ccnn3)C2)CC1=O,1857779624_3643329,9,0
0.868,O=C(CCn1cnnn1)NC[C@@H]1CNC(=O)CO1,88189565_1088365,9,0
0.866,O=C1CN(CCNC(=O)CCn2ccnn2)C1,199539231_12505846,9,0
0.865,Nc1cn(CC(=O)NCCN2CCNC(=O)C2)nn1,22219288_82409812,9,0
0.865,CN1C[C@@H]2[C@H](C1)[C@H]2C(=O)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_250552188,9,0
0.865,CN1C[C@@H](CNC(=O)CCn2cnnc2)OCC1=O,11884221_2573102,9,0
0.865,O=C(Cn1nnc(O)n1)NCCC(=O)N1CC(O)C1,42784323_4127029,9,0
0.865,O=C(CCn1ccnn1)NCc1nc(=O)cc(O)[nH]1,82450186_12505846,9,0
0.865,O=C1CN(CCNC(=O)CCc2c[nH]nn2)C1,199539231_9471403,9,0
0.864,O=C1CC[C@H](C(=O)N[C@H]2C[C@H](n3ccnn3)C2)NC1,1857779624_39294165,9,0
0.864,O=C(N[C@H]1C[C@H](n2ccnn2)C1)c1cnn(CO)c1,1857779624_8733282,9,0
0.863,O=C(N[C@H]1C[C@H](n2ccnn2)C1)[C@H]1C[C@@H](O)[C@@H](O)C1,1857779624_141184307,9,0
0.863,O=C(CCc1c[nH]nn1)NCCN1CCOCC1,19230134_9471403,9,0
0.863,CN1C[C@@H](C(=N)NC(=O)CCn2ccnn2)CC1=O,90584483_12505846,9,0
0.863,CN1CC(C(=O)N[C@H]2C[C@H](n3ccnn3)C2)=CO1,1857779624_96328288,9,0
0.863,O=C(CN1CC[C@@H](O)C1)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_22011331,9,0
0.862,O=C(N[C@H]1C[C@H](n2ccnn2)C1)[C@H]1CC[C@H](O)CO1,1857779624_39065836,9,0
0.862,CN1C[C@@H](CNC(=O)CCn2cncn2)OCC1=O,11884221_128315,9,0
0.861,O=C1CCC(C(=O)N[C@H]2C[C@H](n3ccnn3)C2)=NN1,1857779624_153007,9,0
0.861,Nc1cn(CC(=O)NCCC(=O)N2CC(O)C2)nn1,42784323_82409812,9,0
0.86,O=C1C=C[C@H](C(=O)N[C@H]2C[C@H](n3ccnn3)C2)N=N1,1857779624_198676931,9,0
0.86,CC(=O)N1CC(C(=O)N[C@H]2C[C@H](n3ccnn3)C2)C1,1857779624_19686066,9,0
0.86,O=C(C[C@@H]1COCCO1)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_62153217,9,0
0.86,O=C1CC[C@H](C(=O)N[C@H]2C[C@H](n3ccnn3)C2)NN1,1857779624_57347156,9,0
