score,SMILES,Name,idx,cycle
1.034,Cn1ncc2c(=O)n(Cc3nc(CO)n[nH]3)c(Cc3nnn[nH]3)nc21,19850925_521398993_5178980,94,0
1.031,O=c1c2ccccc2nc(Cc2nnn[nH]2)n1Cc1nc(CO)n[nH]1,47985_521398993_5178980,94,0
1.03,O=c1c2ccccc2nc(Cn2cnnn2)n1Cc1nnn[nH]1,47985_5183370_967442,94,0
1.028,Cc1ccc2c(=O)n(Cc3nc(CO)n[nH]3)c(Cc3nnn[nH]3)nc2n1,2585538_521398993_5178980,94,0
1.028,O=c1c2ccccc2nc(Cn2ncnn2)n1Cc1nnn[nH]1,47985_5183370_31319659,94,0
1.024,O=c1c2cnc(F)cc2nc(Cc2nnn[nH]2)n1Cc1nc(CO)n[nH]1,95707580_521398993_5178980,94,0
1.022,Cc1ccc2c(=O)n(Cc3nnn[nH]3)c(Cn3cnnn3)nc2n1,2585538_5183370_967442,94,0
1.019,O=c1c2cccnc2nc(Cc2nnn[nH]2)n1Cc1nc(CO)n[nH]1,331646_521398993_5178980,94,0
1.019,COc1cccc2c(=O)n(Cc3nnn[nH]3)c(Cn3ncnn3)nc12,389612_5183370_31319659,94,0
1.019,Cc1ccc2c(=O)n(Cc3nnn[nH]3)c(Cn3ncnn3)nc2n1,2585538_5183370_31319659,94,0
1.018,Cc1n[nH]c2c(=O)n(Cc3nc(CO)n[nH]3)c(Cc3nnn[nH]3)nc12,5544115_521398993_5178980,94,0
1.018,O=c1c2ncccc2nc(Cc2nnn[nH]2)n1C[C@H]1COC[C@@H]1O,330903_76570824_5178980,94,0
1.016,Cn1ncc2c(=O)n(Cc3nnn[nH]3)c(Cn3ncnn3)nc21,19850925_5183370_31319659,94,0
1.016,O=c1c2csnc2nc(Cc2nnn[nH]2)n1Cc1nc(CO)n[nH]1,22861807_521398993_5178980,94,0
1.015,Cn1cc2nc(Cc3nnn[nH]3)n(Cc3nc(CO)n[nH]3)c(=O)c2n1,2534276_521398993_5178980,94,0
1.014,O=c1cc2nc(Cc3nnn[nH]3)n(Cc3nc(CO)n[nH]3)c(=O)c2c[nH]1,14982074_521398993_5178980,94,0
1.013,Cn1c(=O)ncc2c(=O)n(Cc3nc(CO)n[nH]3)c(Cc3nnn[nH]3)nc21,5424162_521398993_5178980,94,0
1.013,O=c1c2cccnc2nc(Cn2cnnn2)n1Cc1nnn[nH]1,331646_5183370_967442,94,0
1.011,O=c1c2ccc(O)cc2nc(Cc2nnn[nH]2)n1Cc1nc(CO)n[nH]1,13352602_521398993_5178980,94,0
1.011,Cn1cc2c(=O)n(C[C@H]3COC[C@@H]3O)c(Cc3nnn[nH]3)nc2n1,35937644_76570824_5178980,94,0
1.011,O=c1c2cccnc2nc(Cn2ncnn2)n1Cc1nnn[nH]1,331646_5183370_31319659,94,0
1.01,Cc1ccnc2nc(Cc3nnn[nH]3)n(Cc3nc(CO)n[nH]3)c(=O)c12,2585537_521398993_5178980,94,0
1.01,CC(C)(C)n1ncc2c(=O)n(Cc3nc(CO)n[nH]3)c(Cc3nnn[nH]3)nc21,137316859_521398993_5178980,94,0
1.009,Cn1ncc2nc(Cc3nnn[nH]3)n(Cc3nc(CO)n[nH]3)c(=O)c21,2534273_521398993_5178980,94,0
1.008,Cc1cnc2nc(Cc3nnn[nH]3)n(Cc3nc(CO)n[nH]3)c(=O)c2c1,26441149_521398993_5178980,94,0
1.008,Nc1nncn1Cc1nc2nncnc2c(=O)n1Cc1nc(CO)n[nH]1,39083028_521398993_227173267,94,0
1.007,O=c1c2nccnc2nc(Cc2nnn[nH]2)n1Cc1nc(CO)n[nH]1,967253_521398993_5178980,94,0
1.007,COc1ccc2c(=O)n(Cc3nnn[nH]3)c(Cn3cnnn3)nc2c1,1604577_5183370_967442,94,0
1.007,COc1nccc2c(=O)n(Cc3nnn[nH]3)c(Cn3cnnn3)nc12,72319657_5183370_967442,94,0
