score,SMILES,Name,idx,cycle
0.961,CN(CC(=O)NC(=O)C1[C@H]2CNC[C@H]12)C(=O)CO,102199707_104732023,100,0
0.948,C[C@H](OC(=O)CO)C(=O)NC(=O)C1[C@H]2CNC[C@H]12,102199707_59569925,100,0
0.948,C[C@@H](OC(=O)CO)C(=O)NC(=O)C1[C@H]2CNC[C@H]12,102199707_59569926,100,0
0.947,C[C@H](OC(=O)CO)C(=O)NC(=O)C1[C@@H]2CNC[C@@H]12,102199714_59569925,100,0
0.943,C[C@H](OC(=O)CO)C(=O)NC(=O)[C@H]1[C@@H]2CNC[C@@H]21,103523515_59569925,100,0
0.941,C[C@@H](OC(=O)CO)C(=O)NC(=O)C1[C@@H]2CNC[C@@H]12,102199714_59569926,100,0
0.941,O=C(CCNC(=O)C1[C@H]2CNC[C@H]12)NCCCO,34249556_100764938,100,0
0.94,O=C(CCNC(=O)C1[C@@H]2CNC[C@@H]12)NCCCO,34249556_100764941,100,0
0.939,CN(CC(=O)NC(=O)C1[C@@H]2CNC[C@@H]12)C(=O)CO,102199714_104732023,100,0
0.938,O=C(NCCN1CCOCC1=O)[C@H]1[C@@H]2CNC[C@@H]21,82655459_100493405,100,0
0.937,CC(=O)N1CCC(NC(=O)[C@H]2[C@@H]3CNC[C@@H]32)CC1,2530002_100493405,100,0
0.935,O=C(CCNC(=O)C1[C@H]2CNC[C@H]12)NCCO,37468777_100764938,100,0
0.935,O=C(CCNC(=O)C1[C@@H]2CNC[C@@H]12)NCCO,37468777_100764941,100,0
0.931,C[C@@H]1CS(=O)(=O)C[C@@H]1NC(=O)[C@H]1[C@@H]2CNC[C@@H]21,5275398_100493405,100,0
0.93,O=C(CCOCCO)NC(=O)C1[C@@H]2CNC[C@@H]12,102199714_19870479,100,0
0.928,O=C(N[C@@H]1C=C[C@H](CO)C1)[C@H]1[C@@H]2CNC[C@@H]21,2382589_100493405,100,0
0.927,O=C(NCCN1CCOCC1=O)[C@H]1[C@@H]2CNCC[C@@H]21,82655459_250793924,100,0
0.926,O=C(N[C@@H]1C=C[C@H](CO)C1)[C@H]1[C@@H]2CNCC[C@@H]21,2382589_250793924,100,0
0.926,CN(CCO)C(=O)CCNC(=O)COC1CNC1,37809212_88189317,100,0
0.925,CO[C@@H]1N=C(NC(=O)C2[C@H]3CNC[C@H]23)CC(=O)N1,1688211_100764938,100,0
0.925,C[C@H](CN1CCCC1=O)NC(=O)[C@H]1[C@@H]2CNCC[C@@H]21,23068168_250793924,100,0
0.925,C[C@@H](NC(=O)[C@@H]1[C@@H]2CCNC[C@H]21)C(=O)NCCCO,36984431_250793923,100,0
0.925,O=C(CCOCCO)NC(=O)C1[C@H]2CNC[C@H]12,102199707_19870479,100,0
0.925,C[C@H](NC(=O)[C@@H]1[C@@H]2CCNC[C@H]21)C(=O)NCCCO,36984430_250793923,100,0
0.924,C[C@H](CN1CCCC1=O)NC(=O)C1[C@@H]2CNC[C@@H]12,23068168_100764941,100,0
0.924,C[C@@H](CN1CCCC1=O)NC(=O)C1[C@@H]2CNC[C@@H]12,23068170_100764941,100,0
0.924,CO[C@@H]1N=C(NC(=O)C2[C@@H]3CNC[C@@H]23)CC(=O)N1,1688211_100764941,100,0
0.923,O=C(NCCOCCOCCO)C1[C@H]2CNC[C@H]12,1672249_100764938,100,0
0.922,CN(CCO)C(=O)CCNC(=O)CN(C)C1CNC1,37809212_85258105,100,0
0.922,CC(=O)N1CCC(NC(=O)C2[C@@H]3CNC[C@@H]23)CC1,2530002_100764941,100,0
0.922,O=C(N[C@H]1CCCS(=O)(=O)C1)C1[C@@H]2CNC[C@@H]12,57218781_100764941,100,0
